array_x,g,veh,fuel,type_emi,pollutant,age,hour
array_x_19,115208.760690505,PV_MEDIUM_G,G,Exhaust,FC,19,5
array_x_20,50577.0158264973,PV_MEDIUM_G,G,Exhaust,FC,20,5
array_x_21,10128.6248067201,PV_MEDIUM_G,G,Exhaust,FC,21,5
array_x_22,2081.432762427,PV_MEDIUM_G,G,Exhaust,FC,22,5
array_x_23,318.685582827886,PV_MEDIUM_G,G,Exhaust,FC,23,5
array_x_24,13309.5009207095,PV_MEDIUM_G,G,Exhaust,FC,24,5
array_x_25,1038.21806120206,PV_MEDIUM_G,G,Exhaust,FC,25,5
array_x_26,54.274700846964,PV_MEDIUM_G,G,Exhaust,FC,26,5
array_x_27,1.81550833574322,PV_MEDIUM_G,G,Exhaust,FC,27,5
array_x_28,0.0369802044975318,PV_MEDIUM_G,G,Exhaust,FC,28,5
array_x_29,0.000435024779044808,PV_MEDIUM_G,G,Exhaust,FC,29,5
array_x_30,2.79330113447809e-06,PV_MEDIUM_G,G,Exhaust,FC,30,5
array_x_1,29457402.4334772,PV_MEDIUM_G,G,Exhaust,FC,1,6
array_x_2,28796690.5052309,PV_MEDIUM_G,G,Exhaust,FC,2,6
array_x_3,21418084.7630246,PV_MEDIUM_G,G,Exhaust,FC,3,6
array_x_4,22569702.808466,PV_MEDIUM_G,G,Exhaust,FC,4,6
array_x_5,22589145.3377484,PV_MEDIUM_G,G,Exhaust,FC,5,6
array_x_6,27811347.0847057,PV_MEDIUM_G,G,Exhaust,FC,6,6
array_x_7,25615193.9567131,PV_MEDIUM_G,G,Exhaust,FC,7,6
array_x_8,23447770.2513215,PV_MEDIUM_G,G,Exhaust,FC,8,6
array_x_9,20374508.1160297,PV_MEDIUM_G,G,Exhaust,FC,9,6
array_x_10,22932907.0218283,PV_MEDIUM_G,G,Exhaust,FC,10,6
array_x_11,20817810.8182423,PV_MEDIUM_G,G,Exhaust,FC,11,6
array_x_12,11831389.6315099,PV_MEDIUM_G,G,Exhaust,FC,12,6
array_x_13,22640414.6346855,PV_MEDIUM_G,G,Exhaust,FC,13,6
array_x_14,13187028.7402923,PV_MEDIUM_G,G,Exhaust,FC,14,6
array_x_15,6488793.07434049,PV_MEDIUM_G,G,Exhaust,FC,15,6
array_x_16,3780109.95090857,PV_MEDIUM_G,G,Exhaust,FC,16,6
array_x_17,1853557.12890141,PV_MEDIUM_G,G,Exhaust,FC,17,6
array_x_18,876734.906657427,PV_MEDIUM_G,G,Exhaust,FC,18,6
array_x_19,273172.192040281,PV_MEDIUM_G,G,Exhaust,FC,19,6
array_x_20,119923.469338378,PV_MEDIUM_G,G,Exhaust,FC,20,6
array_x_21,24016.043781932,PV_MEDIUM_G,G,Exhaust,FC,21,6
array_x_22,4909.27668663623,PV_MEDIUM_G,G,Exhaust,FC,22,6
array_x_23,751.653250773165,PV_MEDIUM_G,G,Exhaust,FC,23,6
array_x_24,27186.1108529929,PV_MEDIUM_G,G,Exhaust,FC,24,6
array_x_25,2120.67390577361,PV_MEDIUM_G,G,Exhaust,FC,25,6
array_x_26,110.862010719177,PV_MEDIUM_G,G,Exhaust,FC,26,6
array_x_27,3.70837427820072,PV_MEDIUM_G,G,Exhaust,FC,27,6
array_x_28,0.0755361109951112,PV_MEDIUM_G,G,Exhaust,FC,28,6
array_x_29,0.000888585675553673,PV_MEDIUM_G,G,Exhaust,FC,29,6
array_x_30,5.70562297866118e-06,PV_MEDIUM_G,G,Exhaust,FC,30,6
array_x_1,46513648.3209206,PV_MEDIUM_G,G,Exhaust,FC,1,7
array_x_2,45470374.9928908,PV_MEDIUM_G,G,Exhaust,FC,2,7
array_x_3,33819453.8579821,PV_MEDIUM_G,G,Exhaust,FC,3,7
array_x_4,35637874.7756666,PV_MEDIUM_G,G,Exhaust,FC,4,7
array_x_5,35668574.7999323,PV_MEDIUM_G,G,Exhaust,FC,5,7
array_x_6,43914504.02154,PV_MEDIUM_G,G,Exhaust,FC,6,7
array_x_7,40446747.6745566,PV_MEDIUM_G,G,Exhaust,FC,7,7
array_x_8,37024355.4856093,PV_MEDIUM_G,G,Exhaust,FC,8,7
array_x_9,32171631.8117626,PV_MEDIUM_G,G,Exhaust,FC,9,7
array_x_10,36211379.2822898,PV_MEDIUM_G,G,Exhaust,FC,10,7
array_x_11,32871612.946793,PV_MEDIUM_G,G,Exhaust,FC,11,7
array_x_12,18681928.853388,PV_MEDIUM_G,G,Exhaust,FC,12,7
array_x_13,35749529.7331712,PV_MEDIUM_G,G,Exhaust,FC,13,7
array_x_14,20822501.8688935,PV_MEDIUM_G,G,Exhaust,FC,14,7
array_x_15,10245894.5512485,PV_MEDIUM_G,G,Exhaust,FC,15,7
array_x_16,6053739.73062109,PV_MEDIUM_G,G,Exhaust,FC,16,7
array_x_17,2968419.59094586,PV_MEDIUM_G,G,Exhaust,FC,17,7
array_x_18,1404066.28552663,PV_MEDIUM_G,G,Exhaust,FC,18,7
array_x_19,440581.488925125,PV_MEDIUM_G,G,Exhaust,FC,19,7
array_x_20,193416.688146567,PV_MEDIUM_G,G,Exhaust,FC,20,7
array_x_21,38733.8998472228,PV_MEDIUM_G,G,Exhaust,FC,21,7
array_x_22,7847.59896261268,PV_MEDIUM_G,G,Exhaust,FC,22,7
array_x_23,1201.53612182198,PV_MEDIUM_G,G,Exhaust,FC,23,7
array_x_24,35778.0690132671,PV_MEDIUM_G,G,Exhaust,FC,24,7
array_x_25,2790.89634283052,PV_MEDIUM_G,G,Exhaust,FC,25,7
array_x_26,145.899083981099,PV_MEDIUM_G,G,Exhaust,FC,26,7
array_x_27,4.88037702670823,PV_MEDIUM_G,G,Exhaust,FC,27,7
array_x_28,0.0994087093512816,PV_MEDIUM_G,G,Exhaust,FC,28,7
array_x_29,0.00116941624331897,PV_MEDIUM_G,G,Exhaust,FC,29,7
array_x_30,7.50884059136208e-06,PV_MEDIUM_G,G,Exhaust,FC,30,7
array_x_1,51594970.1302467,PV_MEDIUM_G,G,Exhaust,FC,1,8
array_x_2,50437725.7914239,PV_MEDIUM_G,G,Exhaust,FC,2,8
array_x_3,37514015.2323642,PV_MEDIUM_G,G,Exhaust,FC,3,8
array_x_4,39531087.1310213,PV_MEDIUM_G,G,Exhaust,FC,4,8
array_x_5,39565140.9387136,PV_MEDIUM_G,G,Exhaust,FC,5,8
array_x_6,48711885.7597089,PV_MEDIUM_G,G,Exhaust,FC,6,8
array_x_7,44865298.9706629,PV_MEDIUM_G,G,Exhaust,FC,7,8
array_x_8,41069032.0869211,PV_MEDIUM_G,G,Exhaust,FC,8,8
array_x_9,35686179.0525817,PV_MEDIUM_G,G,Exhaust,FC,9,8
array_x_10,40167243.3767028,PV_MEDIUM_G,G,Exhaust,FC,10,8
array_x_11,36462628.6981663,PV_MEDIUM_G,G,Exhaust,FC,11,8
array_x_12,20722811.3889405,PV_MEDIUM_G,G,Exhaust,FC,12,8
array_x_13,39654939.6862454,PV_MEDIUM_G,G,Exhaust,FC,13,8
array_x_14,23097228.4640024,PV_MEDIUM_G,G,Exhaust,FC,14,8
array_x_15,11365193.7100698,PV_MEDIUM_G,G,Exhaust,FC,15,8
array_x_16,6715072.49705889,PV_MEDIUM_G,G,Exhaust,FC,16,8
array_x_17,3292700.65147751,PV_MEDIUM_G,G,Exhaust,FC,17,8
array_x_18,1557451.6443607,PV_MEDIUM_G,G,Exhaust,FC,18,8
array_x_19,488712.229240624,PV_MEDIUM_G,G,Exhaust,FC,19,8
array_x_20,214546.237671168,PV_MEDIUM_G,G,Exhaust,FC,20,8
array_x_21,42965.3333545667,PV_MEDIUM_G,G,Exhaust,FC,21,8
array_x_22,8704.89950125123,PV_MEDIUM_G,G,Exhaust,FC,22,8
array_x_23,1332.79634158335,PV_MEDIUM_G,G,Exhaust,FC,23,8
array_x_24,39686.5967021373,PV_MEDIUM_G,G,Exhaust,FC,24,8
array_x_25,3095.78411161074,PV_MEDIUM_G,G,Exhaust,FC,25,8
array_x_26,161.837635871908,PV_MEDIUM_G,G,Exhaust,FC,26,8
array_x_27,5.41352734105142,PV_MEDIUM_G,G,Exhaust,FC,27,8
array_x_28,0.110268481936277,PV_MEDIUM_G,G,Exhaust,FC,28,8
array_x_29,0.00129716756956108,PV_MEDIUM_G,G,Exhaust,FC,29,8
array_x_30,8.32913392110464e-06,PV_MEDIUM_G,G,Exhaust,FC,30,8
array_x_1,44287383.5520938,PV_MEDIUM_G,G,Exhaust,FC,1,9
array_x_2,43294044.0120658,PV_MEDIUM_G,G,Exhaust,FC,2,9
array_x_3,32200766.4115466,PV_MEDIUM_G,G,Exhaust,FC,3,9
array_x_4,33932152.9517941,PV_MEDIUM_G,G,Exhaust,FC,4,9
array_x_5,33961383.5926661,PV_MEDIUM_G,G,Exhaust,FC,5,9
array_x_6,41812641.0915646,PV_MEDIUM_G,G,Exhaust,FC,6,9
array_x_7,38510860.626088,PV_MEDIUM_G,G,Exhaust,FC,7,9
array_x_8,35252273.0714879,PV_MEDIUM_G,G,Exhaust,FC,8,9
array_x_9,30631813.4349276,PV_MEDIUM_G,G,Exhaust,FC,9,9
array_x_10,34478208.0339161,PV_MEDIUM_G,G,Exhaust,FC,10,9
array_x_11,31298291.6434833,PV_MEDIUM_G,G,Exhaust,FC,11,9
array_x_12,17787762.914542,PV_MEDIUM_G,G,Exhaust,FC,12,9
array_x_13,34038463.81123,PV_MEDIUM_G,G,Exhaust,FC,13,9
array_x_14,19825882.5112866,PV_MEDIUM_G,G,Exhaust,FC,14,9
array_x_15,9755499.26109234,PV_MEDIUM_G,G,Exhaust,FC,15,9
array_x_16,5763991.92608547,PV_MEDIUM_G,G,Exhaust,FC,16,9
array_x_17,2826343.27156488,PV_MEDIUM_G,G,Exhaust,FC,17,9
array_x_18,1336864.00367166,PV_MEDIUM_G,G,Exhaust,FC,18,9
array_x_19,419494.107436065,PV_MEDIUM_G,G,Exhaust,FC,19,9
array_x_20,184159.259970798,PV_MEDIUM_G,G,Exhaust,FC,20,9
array_x_21,36879.9941721792,PV_MEDIUM_G,G,Exhaust,FC,21,9
array_x_22,7471.9923671075,PV_MEDIUM_G,G,Exhaust,FC,22,9
array_x_23,1144.02746290042,PV_MEDIUM_G,G,Exhaust,FC,23,9
array_x_24,34065.6371267951,PV_MEDIUM_G,G,Exhaust,FC,24,9
